"Timestamp";"TI";"RHI";"DEWI";"T1";"RH1";"DEW1";"T2";"RH2";"DEW2";"T3";"RH3";"DEW3";"T4";"RH4";"DEW4";"T5";"RH5";"DEW5";"T6";"RH6";"DEW6";"T7";"RH7";"DEW7";"T8";"RH8";"DEW8"
2017-10-02 06:00:00;"20.2";"56";"11.2";"11.3";"81";"8.2";"11.2";"82";"8.3";"11.9";"77";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-02 12:00:00;"20.7";"54";"11.1";"11.3";"86";"9.1";"11.4";"87";"9.3";"11.7";"82";"8.7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-02 18:00:00;"20.7";"56";"11.6";"12.7";"86";"10.4";"12.7";"87";"10.6";"13.2";"83";"10.4";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-03 00:00:00;"20.9";"57";"12.1";"11.9";"88";"10.0";"11.8";"89";"10.1";"12.1";"85";"9.7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-03 06:00:00;"20.0";"56";"11.0";"11.0";"89";"9.3";"10.8";"90";"9.2";"11.2";"87";"9.1";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-03 12:00:00;"20.5";"56";"11.4";"12.0";"90";"10.4";"11.9";"91";"10.5";"12.3";"87";"10.2";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-03 18:00:00;"20.5";"56";"11.4";"12.0";"88";"10.1";"12.0";"89";"10.3";"12.3";"86";"10.0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-04 00:00:00;"20.2";"56";"11.2";"11.3";"83";"8.5";"11.4";"84";"8.8";"11.6";"83";"8.8";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-04 06:00:00;"19.6";"57";"10.9";"11.0";"80";"7.7";"10.9";"81";"7.8";"11.3";"80";"8.0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-04 12:00:00;"20.5";"56";"11.4";"10.3";"83";"7.6";"10.4";"84";"7.8";"10.7";"82";"7.8";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-04 18:00:00;"20.2";"56";"11.2";"8.9";"84";"6.4";"8.7";"85";"6.3";"9.2";"82";"6.3";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-05 00:00:00;"19.8";"56";"10.8";"8.5";"83";"5.8";"8.5";"84";"6.0";"8.6";"82";"5.7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-05 06:00:00;"19.1";"54";"9.6";"6.7";"87";"4.7";"6.5";"88";"4.7";"6.5";"85";"4.2";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-05 12:00:00;"19.2";"55";"10.0";"6.5";"92";"5.3";"7.3";"96";"6.7";"7.8";"90";"6.3";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-05 18:00:00;"19.0";"56";"10.0";"13.5";"78";"9.8";"13.1";"76";"9.0";"14.3";"79";"10.7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-06 00:00:00;"18.6";"55";"9.4";"8.6";"78";"5.0";"7.6";"80";"4.4";"8.9";"77";"5.1";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-06 06:00:00;"17.9";"51";"7.6";"5.4";"80";"2.2";"4.2";"83";"1.6";"6.2";"79";"2.8";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-06 12:00:00;"18.3";"53";"8.6";"6.1";"87";"4.1";"6.5";"94";"5.6";"8.5";"85";"6.1";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-06 18:00:00;"18.0";"54";"8.6";"13.1";"77";"9.2";"12.7";"77";"8.8";"14.0";"77";"10.0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-07 00:00:00;"19.2";"56";"10.2";"9.4";"78";"5.8";"8.6";"81";"5.5";"9.7";"76";"5.7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2017-10-07 06:00:00;"18.3";"55";"9.1";"---";"---";"---";"9.0";"87";"7.0";"9.4";"82";"6.5";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
